gene,product,location
N/A,hypothetical protein,[120242:120464](-)
astB,N-succinylarginine dihydrolase,[120490:121750](-)
astA,Arginine N-succinyltransferase,[121746:122754](-)
N/A,Glutamate carboxypeptidase,[122779:124006](-)
nudH,RNA pyrophosphohydrolase,[124037:124523](-)
phrB,Deoxyribodipyrimidine photo-lyase,[124706:126083](+)
N/A,Cyclopropane-fatty-acyl-phospholipid synthase,[126116:127382](+)
butA,Fatty acyl-CoA reductase,[127385:128096](-)
purF,Amidophosphoribosyltransferase,[128194:129673](-)
N/A,Heme exporter protein,[129856:130579](+)
N/A,hypothetical protein,[130583:130715](+)
N/A,Cytochrome c-type bioproteinis protein CcmE,[130711:131158](+)
N/A,Cytochrome c-type bioproteinis protein CycK,[131204:133136](+)
N/A,Thiol:disulfide interchange protein,[133132:133660](+)
N/A,Cytochrome c-type bioproteinis protein CcmH,[133656:134067](+)
N/A,hypothetical protein,[134063:134699](+)
N/A,putative potassium transport system protein kup,[134840:136769](+)
N/A,Small heat shock protein HspA,[136830:137295](-)
N/A,Lipoprotein-releasing system transmembrane protein LolC,[137750:139001](+)
lolD,Macrolide export ATP-binding/permease protein MacB,[138993:139683](+)
N/A,uncharacterized protein,[139668:141477](-)
dnaE,DNA-directed DNA polymerase,[141715:145210](+)
N/A,uncharacterized protein,[145211:146279](-)
N/A,Molybdenum cofactor biosynthesis protein,[146323:146851](-)
N/A,hypothetical protein,[146850:148638](-)
N/A,DNA-directed DNA polymerase,[148634:149333](-)
N/A,Electron-transferring-flavoprotein dehydrogenase,[149486:151139](+)
N/A,TPR repeat-containing protein,[151155:152787](+)
ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,[152773:153643](+)
N/A,N-formylglutamate deformylase,[153639:154356](+)
ilvD,Dihydroxy-acid dehydratase,[154402:156124](+)
N/A,hypothetical protein,[156104:156479](+)
N/A,ADP-dependent NAD(P)H-hydrate dehydratase,[156475:157867](+)
rumA,23S rRNA (uracil(1939)-C(5))-methyltransferase,[157863:159072](+)
odc1,Ornithine decarboxylase,[159140:160331](-)
nspC,Carboxynorspermidine decarboxylase,[160479:161652](-)
lys1,"Saccharopine dehydrogenase (NAD(+), L-lysine-forming)",[161782:162988](-)
N/A,hypothetical protein,[163265:164051](+)
N/A,Centromere protein,[164089:164440](-)
N/A,hypothetical protein,[164521:164737](+)
N/A,hypothetical protein,[164752:165199](+)
lig1,DNA ligase (ATP),[165202:166786](-)
N/A,hypothetical protein,[166889:167882](-)
alaS,5-aminolevulinate synthase,[168202:169423](-)
murI,Glutamate racemase,[169575:170379](-)
plsY,Glycerol-3-phosphate 1-O-acyltransferase,[171008:171608](+)
N/A,Protein smf,[171604:172687](+)
topA,DNA topoisomerase,[172761:175311](+)
N/A,GTPase Era,[175454:176363](-)
rnt1,Ribonuclease III,[176436:177108](-)
lepB,Signal peptidase I,[177104:177929](-)
N/A,Glucose-6-phosphate isomerase,[178108:179614](+)
N/A,Glutathione-disulfide reductase,[179708:181055](+)
N/A,hypothetical protein,[181092:181809](-)
N/A,Propionyl-CoA carboxylase regulator,[181882:183298](-)
pccB,Propionyl-CoA carboxylase,[183421:184954](+)
mceE,Methylmalonyl-CoA epimerase,[185015:185453](+)
N/A,Methylmalonyl-CoA mutase,[185609:187772](+)
bioB,Biotin synthase,[187768:188770](+)
N/A,Pyruvate carboxylase,[188920:190906](+)
N/A,Monoterpene epsilon-lactone hydrolase,[191014:191899](-)
N/A,Alpha-ketoglutarate permease,[192238:193831](+)
N/A,Alanine racemase,[193871:194918](+)
N/A,Acetyl-CoA C-acetyltransferase,[194978:196151](-)
N/A,hypothetical protein,[196196:196958](-)
N/A,uncharacterized protein,[197283:197886](+)
parS,Proline--tRNA ligase,[197967:199494](+)
N/A,ATP-dependent protease ATPase subunit HslU,[199587:200889](-)
hslV,HslU--HslV peptidase,[200983:201550](-)
N/A,hypothetical protein,[201722:201911](+)
N/A,hypothetical protein,[201932:202058](-)
dpp4,Dipeptidyl-peptidase IV,[202345:204580](+)
N/A,Aspartate-semialdehyde dehydrogenase,[204679:205705](+)
N/A,hypothetical protein,[205714:206407](+)
pcaD,3-oxoadipate enol-lactonase,[206403:207165](+)
N/A,AMP nucleosidase,[207203:208658](-)
prdX,Peroxiredoxin,[208738:209221](-)
N/A,UPF0301 protein,[209356:209917](+)
N/A,hypothetical protein,[210101:210638](+)
ahcY,Adenosylhomocysteinase,[210758:212168](+)
N/A,Sensor protein DivL,[212356:214705](+)
N/A,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,[214697:215156](+)
N/A,hypothetical protein,[215140:216139](+)
gmpP,Mannose-1-phosphate guanylyltransferase,[216135:216846](+)
N/A,hypothetical protein,[216838:219814](+)
addA,ATP-dependent helicase/nuclease subunit,[219794:223235](+)
N/A,Thioredoxin-1,[223265:223586](+)
impA,Inositol-phosphate phosphatase,[223664:224477](-)
argJ,Glutamate N-acetyltransferase,[224476:225637](-)
N/A,Protein translocase subunit SecA,[225856:228589](+)
coxC,Cytochrome-c oxidase,[228721:229159](-)
N/A,hypothetical protein,[229416:229653](-)
N/A,hypothetical protein,[229992:231039](+)
dacC,Serine-type D-Ala-D-Ala carboxypeptidase,[231089:232316](+)
N/A,dTMP kinase,[232312:232939](+)
holB,DNA-directed DNA polymerase,[232935:233907](+)
marS,Methionine--tRNA ligase,[233950:235513](+)
tatD,putative metal-dependent hydrolase YabD,[235517:236306](+)
phnP,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase",[236302:237088](+)
N/A,hypothetical protein,[237092:237722](+)
N/A,Alpha-ketoglutarate permease,[237718:239020](+)
N/A,Putative transposase,[239257:240673](+)
N/A,Putative transposase,[240966:242382](+)
mazG,ATP diphosphatase,[242635:243424](+)
N/A,GTPase HflX,[243431:244766](-)
N/A,RNA-binding protein Hfq,[244831:245314](-)
N/A,Nitrogen assimilation regulatory protein NtrX,[245464:246838](-)
ntrY,Histidine kinase,[246827:249080](-)
N/A,Alginate biosynthesis transcriptional regulatory protein AlgB,[249175:250621](-)
glnL,Histidine kinase,[250620:251724](-)
dusB,putative tRNA-dihydrouridine synthase,[251726:252746](-)
ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,[252848:254024](+)
pncC,Nicotinamide-nucleotide amidase,[254027:254540](+)
N/A,"Coenzyme Q-binding protein COQ10 like protein, mitochondrial",[254491:254962](-)
lipA,Lipoyl synthase,[254966:255902](-)
cynT,Carbonate dehydratase,[255967:256621](+)
N/A,hypothetical protein,[256620:257352](+)
N/A,Acylphosphatase,[257351:257633](+)
N/A,(NU+) prion formation protein,[257907:259593](-)
N/A,Carboxypeptidase,[259695:261069](+)
N/A,hypothetical protein,[261225:261438](+)
N/A,HTH-type transcriptional regulator AlsR,[261705:262623](-)
gabD,Succinate-semialdehyde dehydrogenase (NAD(P)(+)),[262762:264202](+)
dhaA,3-hydroxy-D-aspartate aldolase,[264344:265529](+)
ridA,2-iminobutanoate/2-iminopropanoate deaminase,[265528:265927](+)
N/A,hypothetical protein,[265973:267167](+)
soxB,Sarcosine oxidase,[267211:268534](+)
N/A,hypothetical protein,[268921:270193](-)
nrtC,Sulfate/thiosulfate import ATP-binding protein CysA,[270291:271095](-)
N/A,Nitrate transport permease protein NrtB,[271111:272071](-)
N/A,Nitrate transport protein NrtA,[272088:273369](-)
bcrC,Undecaprenyl-diphosphate phosphatase,[273702:274437](+)
N/A,hypothetical protein,[274543:275581](-)
N/A,Histidine protein kinase DivJ,[275626:277426](-)
N/A,Leucine-responsive regulatory protein,[277583:278057](+)
N/A,hypothetical protein,[278216:279491](-)
N/A,hypothetical protein,[279598:280873](-)
gyrA,DNA topoisomerase (ATP-hydrolyzing),[281106:283836](+)
N/A,hypothetical protein,[283832:284180](+)
N/A,hypothetical protein,[284294:284969](-)
N/A,hypothetical protein,[285082:286207](-)
lpxL,Kdo(2)-lipid IV(A) lauroyltransferase,[286260:287106](+)
trpF,Phosphoribosylanthranilate isomerase,[287221:287866](+)
trpB,Tryptophan synthase,[287862:289092](+)
trpA,Tryptophan synthase,[289164:289995](+)
accD,Acetyl-CoA carboxylase,[289991:290843](+)
folC,Dihydrofolate synthase,[290869:292195](+)
N/A,hypothetical protein,[292267:292708](+)
N/A,Putative transporter AmpG,[292692:294018](-)
N/A,hypothetical protein,[294215:294629](-)
N/A,hypothetical protein,[295087:295537](-)
rluB,23S rRNA pseudouridine(2605) synthase,[295699:296617](+)
rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase,[296676:297216](+)
yhb1,Nitric oxide dioxygenase,[297271:297721](-)
N/A,Protein aau3,[297835:298324](+)
N/A,hypothetical protein,[298862:299258](-)
uvrD,DNA helicase,[299360:301637](+)
N/A,hypothetical protein,[301731:302349](+)
N/A,hypothetical protein,[302933:303269](-)
aroA,3-phosphoshikimate 1-carboxyvinyltransferase,[303449:304760](+)
N/A,hypothetical protein,[304756:305008](+)
N/A,UMP/CMP kinase,[305004:305640](+)
N/A,30S ribosomal protein S1,[305811:307524](+)
N/A,Integration host factor subunit beta,[307688:307976](+)
N/A,Glutathione-regulated potassium-efflux system protein KefC,[308174:309959](+)
aarS,Alanine--tRNA ligase,[310199:312854](-)
maeB,Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)),[313017:315285](+)
N/A,hypothetical protein,[315315:315993](+)
N/A,hypothetical protein,[315999:316530](-)
hisI,Phosphoribosyl-AMP cyclohydrolase,[316516:316888](-)
N/A,DNA-binding protein HRL18,[317274:317547](-)
N/A,Endopeptidase La,[317728:320125](-)
N/A,Nucleoid-associated protein,[320253:320577](-)
dnaX,DNA-directed DNA polymerase,[320573:322181](-)
penP,Beta-lactamase,[322371:323310](-)
N/A,Adrenodoxin like protein,[323313:323649](-)
iscS,Cysteine desulfurase,[323667:324759](-)
N/A,Cysteine desulfurase,[324755:325793](-)
N/A,uncharacterized protein,[325939:326596](+)
N/A,Transmembrane protein,[326741:327827](+)
N/A,hypothetical protein,[327827:328061](-)
rpiB,Ribose-5-phosphate isomerase,[328127:328565](+)
glyA,Glycine hydroxymethyltransferase,[328577:329897](+)
N/A,Transcriptional repressor NrdR,[329990:330452](+)
lasT,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ,[330444:331179](+)
pchB,Isochorismate lyase,[331175:331472](-)
N/A,30S ribosomal protein S4,[331522:332266](+)
N/A,hypothetical protein,[332395:334042](+)
aguA,Agmatine deiminase,[334132:335119](+)
N/A,hypothetical protein,[335124:335469](+)
aguB,N-carbamoylputrescine amidase,[335481:336330](+)
N/A,hypothetical protein,[336349:336640](+)
N/A,uncharacterized protein,[336624:337308](-)
folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,[337331:337844](+)
N/A,Acetyl-CoA C-acetyltransferase,[337996:339169](-)
N/A,F420-dependent NADP reductase,[339183:339852](-)
N/A,hypothetical protein,[339913:340633](-)
N/A,Medium-chain acyl-CoA dehydrogenase,[340729:341752](+)
N/A,3-oxoacyl-[acyl-carrier-protein] reductase,[341773:342514](+)
N/A,Medium-chain acyl-CoA dehydrogenase,[342537:343764](+)
N/A,MFS-type efflux pump,[343790:345152](+)
acsL,Long-chain-fatty-acid--CoA ligase,[345142:346678](+)
N/A,Alcohol dehydrogenase (azurin),[346684:348766](+)
fadN,3-hydroxyacyl-CoA dehydrogenase,[348752:350828](+)
N/A,Acetyl-CoA C-acetyltransferase,[350824:351976](+)
N/A,hypothetical protein,[351979:352411](+)
N/A,Gluconolactonase,[352452:353490](+)
cryZ,NADPH:quinone reductase,[353499:354480](-)
N/A,uncharacterized protein,[354483:355125](-)
limB,"Limonene 1,2-monooxygenase",[355127:356135](-)
N/A,Alpha-methylacyl-CoA racemase,[356167:358564](-)
N/A,uncharacterized protein,[358712:359369](-)
liuC,Methylglutaconyl-CoA hydratase,[359381:360191](-)
N/A,hypothetical protein,[360286:361021](-)
exaA,Alcohol dehydrogenase (cytochrome c),[361199:363254](-)
N/A,Enoyl-CoA hydratase,[363412:364183](+)
N/A,hypothetical protein,[364190:364619](+)
N/A,Acetyl-CoA C-acetyltransferase,[364622:365810](+)
treX,Glycogen debranching enzyme,[365793:367665](-)
glgA,Starch synthase,[367661:369122](-)
glgC,Glucose-1-phosphate adenylyltransferase,[369127:370387](-)
glgB,"1,4-alpha-glucan branching enzyme",[370436:372644](-)
glgP,Glycogen phosphorylase,[372615:375081](-)
N/A,Esterase EstB,[375184:376384](-)
N/A,hypothetical protein,[376530:377043](+)
N/A,hypothetical protein,[377098:378028](+)
N/A,hypothetical protein,[378011:380444](+)
N/A,hypothetical protein,[380728:381604](-)
gatB,Asparaginyl-tRNA synthase (glutamine-hydrolyzing),[381678:383181](-)
gatA,Asparaginyl-tRNA synthase (glutamine-hydrolyzing),[383279:384764](-)
gatC,Asparaginyl-tRNA synthase (glutamine-hydrolyzing),[384763:385051](-)
N/A,hypothetical protein,[385177:386296](+)
ruvX,Putative pre-16S rRNA nuclease,[386292:386766](+)
N/A,Mercuric resistance operon regulatory protein,[386784:387174](-)
N/A,hypothetical protein,[387240:388005](+)
N/A,"putative L,D-transpeptidase YcbB",[388053:389673](-)
serB,Phosphoserine phosphatase,[390148:391027](-)
miaA,tRNA dimethylallyltransferase,[391151:392000](+)
ilvB,Acetolactate synthase,[392101:393850](+)
N/A,hypothetical protein,[393846:394197](+)
ilvH,Acetolactate synthase,[394196:394712](+)
ilvC,Ketol-acid reductoisomerase (NADP(+)),[394901:395921](+)
N/A,UPF0312 protein,[396194:396821](+)
N/A,hypothetical protein,[396886:397186](+)
leuA,2-isopropylmalate synthase,[397530:399195](+)
N/A,Methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase(FADH(2)-oxidizing),[399267:400611](+)
N/A,hypothetical protein,[400615:401080](-)
crtB,15-cis-phytoene synthase,[401090:401699](-)
N/A,hypothetical protein,[401870:403886](+)
N/A,hypothetical protein,[403882:404503](+)
N/A,hypothetical protein,[404513:405197](+)
dlsT,Dihydrolipoyllysine-residue succinyltransferase,[405250:406639](-)
pdhA,Pyruvate dehydrogenase (acetyl-transferring),[406638:407712](-)
N/A,uncharacterized protein,[407823:408135](-)
N/A,Phosphopyruvate hydratase,[408211:409486](-)
N/A,hypothetical protein,[409697:410312](+)
N/A,hypothetical protein,[410366:410741](+)
N/A,hypothetical protein,[410737:411061](+)
N/A,hypothetical protein,[411053:411641](+)
N/A,Inositol-phosphate phosphatase,[411745:411967](+)
N/A,hypothetical protein,[411971:412613](-)
N/A,Transcription elongation factor GreA,[412640:413117](-)
carB,Carbamoyl-phosphate synthase (glutamine-hydrolyzing),[413200:416536](-)
N/A,hypothetical protein,[416535:416760](-)
N/A,hypothetical protein,[416786:417155](-)
carA,Carbamoyl-phosphate synthase (glutamine-hydrolyzing),[417151:418315](-)
N/A,uncharacterized protein,[418469:418922](+)
N/A,uncharacterized protein,[418985:419396](+)
dnaG,DNA primase,[419392:421291](+)
N/A,RNA polymerase sigma factor RpoD,[421328:423374](+)
N/A,hypothetical protein,[423485:424196](+)
N/A,hypothetical protein,[424266:425112](+)
N/A,hypothetical protein,[425179:425593](+)
N/A,hypothetical protein,[425686:426712](+)
N/A,uncharacterized protein,[426981:427899](+)
N/A,Methyl-accepting chemotaxis protein,[427824:429231](-)
N/A,hypothetical protein,[429335:430511](+)
anmK,Anhydro-N-acetylmuramic acid kinase,[430518:431607](-)
yarS,Tyrosine--tRNA ligase,[431733:432951](+)
N/A,hypothetical protein,[433026:433380](+)
N/A,putative MscS family protein,[433345:434443](-)
recG,DNA helicase,[434633:436697](-)
N/A,hypothetical protein,[436782:437052](+)
N/A,Transcription-repair-coupling factor,[437193:440655](+)
N/A,hypothetical protein,[440847:441270](+)
N/A,hypothetical protein,[441271:441988](+)
N/A,Phytochrome-like protein cph2,[442015:444034](-)
moaA,Cyclic pyranopterin phosphate synthase,[444155:445169](+)
ppnK,NAD(+) kinase,[445165:445942](+)
N/A,hypothetical protein,[446355:447663](-)
N/A,hypothetical protein,[447678:448191](-)
N/A,hypothetical protein,[448209:448851](-)
N/A,hypothetical protein,[449121:450156](+)
purU,Formyltetrahydrofolate deformylase,[451310:452177](+)
N/A,hypothetical protein,[452746:452950](-)
N/A,Nitronate monooxygenase,[452949:454353](-)
N/A,Starch synthase,[454446:455589](-)
menH,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase",[455581:456451](-)
N/A,UPF0061 protein,[456525:457920](+)
astD,Succinylglutamate-semialdehyde dehydrogenase,[457982:459416](+)
cobA,Uroporphyrinogen-III C-methyltransferase,[459533:460322](+)
N/A,hypothetical protein,[460318:460615](+)
cysI,Assimilatory sulfite reductase (NADPH),[460618:462250](+)
N/A,hypothetical protein,[462242:462683](+)
cysH,Phosphoadenylyl-sulfate reductase (thioredoxin),[462675:463467](+)
N/A,hypothetical protein,[463563:463959](+)
N/A,hypothetical protein,[463948:464188](-)
N/A,hypothetical protein,[464184:464745](-)
dnaB,DNA helicase,[464796:466281](-)
N/A,UPF0262 protein,[466360:466882](+)
N/A,Lysozyme M1,[466963:467581](+)
N/A,Cytidine deaminase,[467577:468027](+)
N/A,dCTP deaminase,[468028:468583](+)
pphA,Protein-serine/threonine phosphatase,[468628:469381](+)
N/A,hypothetical protein,[469444:470140](-)
N/A,ECF RNA polymerase sigma factor EcfG,[470136:470625](-)
N/A,Proteinase,[470714:472031](+)
N/A,putative PE-PGRS family protein PE PGRS36,[472131:472821](+)
N/A,Transcriptional activator protein CopR,[473007:473715](-)
N/A,HTH-type transcriptional activator AmpR,[473922:474846](-)
N/A,"Putative quercetin 2,3-dioxygenase",[474923:475643](+)
wrbA,NAD(P)H dehydrogenase (quinone),[475757:476357](+)
N/A,hypothetical protein,[476459:477446](-)
rluA,tRNA pseudouridine(32) synthase,[477511:478189](+)
N/A,Peptidyl-tRNA hydrolase ArfB,[478175:478580](+)
N/A,hypothetical protein,[478658:479144](+)
N/A,hypothetical protein,[479274:480126](+)
glo1,Lactoylglutathione lyase,[480178:480556](+)
ate1,Arginyltransferase,[480612:481431](-)
ilvA,Threonine ammonia-lyase,[481553:482801](-)
mmsB,3-hydroxyisobutyrate dehydrogenase,[482898:483768](+)
N/A,Putative amidohydrolase YtcJ,[483764:485459](+)
N/A,hypothetical protein,[485455:487198](-)
N/A,hypothetical protein,[487198:487951](-)
N/A,hypothetical protein,[487947:489093](-)
N/A,hypothetical protein,[489089:490409](-)
N/A,hypothetical protein,[490405:491158](-)
N/A,hypothetical protein,[491221:492355](-)
N/A,putative sugar transferase EpsL,[492354:493704](-)
asnB,Asparagine synthase (glutamine-hydrolyzing),[493805:495701](-)
N/A,hypothetical protein,[495712:497227](-)
N/A,hypothetical protein,[497244:498474](-)
N/A,hypothetical protein,[498470:499535](-)
N/A,Chitin deacetylase,[499531:500380](-)
N/A,General secretion pathway protein A,[500399:501605](-)
N/A,hypothetical protein,[501628:503209](-)
N/A,Non-specific protein-tyrosine kinase,[503208:504123](-)
N/A,hypothetical protein,[504133:505651](-)
N/A,hypothetical protein,[505652:506297](-)
lysA,Diaminopimelate decarboxylase,[506430:507663](-)
N/A,Long-chain-fatty-acid--CoA ligase,[507659:509192](-)
N/A,hypothetical protein,[509241:510249](+)
N/A,hypothetical protein,[510296:510569](+)
trxB,Thioredoxin-disulfide reductase,[510707:511748](-)
N/A,hypothetical protein,[511788:512526](-)
N/A,hypothetical protein,[512550:513423](-)
N/A,hypothetical protein,[513438:514374](-)
N/A,uncharacterized protein,[514573:515983](-)
N/A,hypothetical protein,[516342:517236](-)
N/A,putative potassium transport system protein kup,[517279:519292](-)
hcaD,Ferredoxin--NAD(+) reductase,[519364:520591](+)
N/A,hypothetical protein,[520661:522242](-)
N/A,hypothetical protein,[522394:523105](+)
N/A,Ammonia channel,[523366:524641](+)
N/A,hypothetical protein,[524645:525488](+)
N/A,Putative proline/betaine transporter,[525484:526816](-)
cyoA,Cytochrome bo(3) ubiquinol oxidase subunit,[526946:528122](+)
N/A,hypothetical protein,[528066:528282](+)
cyoB,putative cytochrome c oxidase subunit,[528286:530305](+)
cyoC,Cytochrome bo(3) ubiquinol oxidase subunit,[530311:530971](+)
N/A,Cytochrome bo(3) ubiquinol oxidase subunit,[530967:531357](+)
N/A,hypothetical protein,[531353:532067](+)
regB,Histidine kinase,[532063:533389](+)
N/A,Photosynthetic apparatus regulatory protein RegA,[533378:533912](+)
N/A,Protein-glutamate O-methyltransferase,[534181:536152](+)
lipV,Carboxylesterase,[536292:537213](+)
N/A,Nitronate monooxygenase,[537207:538140](-)
N/A,hypothetical protein,[538248:538593](-)
cysE,Serine O-acetyltransferase,[538592:539312](-)
N/A,UPF0721 transmembrane protein YtnM,[539470:540244](+)
N/A,HTH-type transcriptional regulator EstR,[540283:541210](+)
moaE,Molybdopterin synthase,[541212:541656](-)
N/A,hypothetical protein,[541652:541913](-)
pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,[541916:542480](-)
N/A,Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase,[542626:543922](+)
mrcA,Penicillin-binding protein 1A,[544366:546283](+)
purT,Phosphoribosylglycinamide formyltransferase,[546353:547523](+)
N/A,hypothetical protein,[547556:547979](+)
N/A,Na(+)/H(+) antiporter,[547978:549799](+)
N/A,UPF0382 membrane protein,[549795:550122](+)
N/A,hypothetical protein,[550168:550636](+)
N/A,1-deoxy-D-xylulose-5-phosphate synthase,[550694:552620](+)
N/A,hypothetical protein,[552685:553141](+)
N/A,hypothetical protein,[553127:553457](+)
N/A,hypothetical protein,[553470:553884](-)
lspA,Signal peptidase II,[553883:554396](-)
N/A,hypothetical protein,[554395:554542](-)
